Ticker,Company
002245.SZ,Jiangsu Azure Corporation
300811.SZ,"POCO Holding Co., Ltd."
002472.SZ,"Zhejiang Shuanghuan Driveline Co.,Ltd."
002378.SZ,"Chongyi Zhangyuan Tungsten Co., Ltd."
000786.SZ,Beijing New Building Materials Public Limited Company
000060.SZ,Shenzhen Zhongjin Lingnan Nonfemet Co. Ltd.
002131.SZ,"Leo Group Co., Ltd."
301626.SZ,"Suzhou Tianmai Thermal Technology Co., Ltd."
000737.SZ,"North Copper Co., Ltd."
002244.SZ,"Hangzhou Binjiang Real Estate Group Co.,Ltd"
002491.SZ,"Tongding Interconnection Information Co., Ltd."
300489.SZ,"Optics Technology Holding Co.,Ltd"
301297.SZ,"Ferrotec (An Hui) Technology Development Co.,LTD"
002747.SZ,"Estun Automation Co., Ltd"
000629.SZ,"Pangang Group Vanadium & Titanium Resources Co., Ltd."
002536.SZ,"Feilong Auto Components Co., Ltd."
300896.SZ,"Imeik Technology Development Co.,Ltd."
301550.SZ,"Zhejiang Sling Automobile Bearing Co., Ltd."
002432.SZ,"Andon Health Co., Ltd."
002046.SZ,"Sinomach Precision Industry Group Co., Ltd."
000967.SZ,"Infore Environment Technology Group Co., Ltd."
002240.SZ,"Chengxin Lithium Group Co., Ltd."
300339.SZ,"Jiangsu Hoperun Software Co., Ltd."
000959.SZ,"Beijing Shougang Co., Ltd."
000887.SZ,"Anhui Zhongding Sealing Parts Co., Ltd."
002797.SZ,"First Capital Securities Co., Ltd."
000962.SZ,"Ningxia Orient Tantalum Industry Co., Ltd."
002025.SZ,"Guizhou Space Appliance Co., Ltd"
002859.SZ,"Zhejiang Jiemei Electronic And Technology Co., Ltd."
000582.SZ,"Beibu Gulf Port Co., Ltd."
002157.SZ,"Jiangxi ZhengBang Technology Co., Ltd."
002603.SZ,"Shijiazhuang Yiling Pharmaceutical Co., Ltd."
000415.SZ,"Bohai Leasing Co., Ltd."
300236.SZ,"Shanghai Sinyang Semiconductor Materials Co., Ltd."
002015.SZ,"GCL Energy Technology Co.,Ltd."
301345.SZ,"Zhejiang Taotao Vehicles Co., Ltd."
002608.SZ,Jiangsu Guoxin Corp. Ltd.
000877.SZ,"Tianshan Material Co., Ltd."
300432.SZ,"Fulin Precision Co., Ltd."
000564.SZ,"Ccoop Group Co., Ltd"
003022.SZ,Levima Advanced Materials Corporation
300413.SZ,"Mango Excellent Media Co., Ltd."
300474.SZ,"Changsha Jingjia Microelectronics Co., Ltd."
002223.SZ,"Jiangsu Yuyue Medical Equipment & Supply Co., Ltd."
000429.SZ,"Guangdong Provincial Expressway Development Co., Ltd."
200429.SZ,"Guangdong Provincial Expressway Development Co., Ltd."
300684.SZ,Jones Tech PLC
002271.SZ,"Beijing Oriental Yuhong Waterproof Technology Co., Ltd."
000603.SZ,"Shengda Resources Co.,Ltd."
300602.SZ,"Shenzhen FRD Science & Technology Co., Ltd."
300496.SZ,"Thunder Software Technology Co.,Ltd."
300814.SZ,Shenzhen Jove Enterprise Limited
000981.SZ,Sensteed Hi-Tech Group
000932.SZ,"Hunan Valin Steel Co., Ltd."
002768.SZ,"Qingdao Gon Technology Co., Ltd."
002266.SZ,"Zhefu Holding Group Co., Ltd."
002487.SZ,"Dajin Heavy Industry Co.,Ltd."
001339.SZ,"JWIPC Technology Co., Ltd."
000539.SZ,"Guangdong Electric Power Development Co., Ltd."
200539.SZ,"Guangdong Electric Power Development Co., Ltd."
300012.SZ,Centre Testing International Group Co. Ltd.
002456.SZ,"OFILM Group Co., Ltd."
300763.SZ,"Ginlong Technologies Co., Ltd."
300623.SZ,"Jiangsu JieJie Microelectronics Co., Ltd."
300260.SZ,"Kunshan Kinglai Hygienic Materials Co.,Ltd."
002465.SZ,Guangzhou Haige Communications Group Incorporated Company
000738.SZ,"Aecc Aero-Engine Control Co.,Ltd."
002152.SZ,"GRG Banking Equipment Co., Ltd."
000750.SZ,"Sealand Securities Co., Ltd."
300142.SZ,"Walvax Biotechnology Co., Ltd."
002007.SZ,Hualan Biological Engineering Inc.
002756.SZ,"Yongxing Special Materials Technology Co.,Ltd"
002459.SZ,"JA Solar Technology Co., Ltd."
000951.SZ,"Sinotruk Jinan Truck Co.,Ltd"
000830.SZ,"Luxi Chemical Group Co., Ltd."
002180.SZ,"Pantum Technology Co., Ltd."
000791.SZ,"GEPIC Energy Development Co., Ltd."
002430.SZ,"Hangzhou Oxygen Plant Group Co., Ltd."
000088.SZ,"Shenzhen Yan Tian Port Holdings Co.,Ltd."
301583.SZ,"Tolerance Technology (Jiangsu) Co., Ltd."
000034.SZ,"Digital China Group Co., Ltd."
000739.SZ,"Apeloa Pharmaceutical Co.,Ltd"
000062.SZ,"Shenzhen Huaqiang Industry Co., Ltd."
000683.SZ,Inner Mongolia Berun Chemical Company Limited
001301.SZ,"Shijiazhuang Shangtai Technology Co., Ltd."
002396.SZ,"Fujian Star-net Communication Co., LTD."
000400.SZ,"XJ Electric Co., Ltd."
002335.SZ,"Kehua Data Co., Ltd."
000733.SZ,"China Zhenhua (Group) Science & Technology Co., Ltd"
300024.SZ,"Siasun Robot&Automation Co.,Ltd."
002130.SZ,"ShenZhen Woer Heat-Shrinkable Material Co.,Ltd."
300456.SZ,Sai MicroElectronics Inc.
