Ticker,Company
1099.HK,Sinopharm Group Co. Ltd.
0960.HK,Longfor Group Holdings Limited
6655.HK,"Huaxin Building Materials Group Co., Ltd."
2039.HK,"China International Marine Containers (Group) Co., Ltd."
0598.HK,Sinotrans Limited
2018.HK,AAC Technologies Holdings Inc.
2526.HK,"Hangzhou Diagens Biotechnology Co., Ltd."
3347.HK,"Hangzhou Tigermed Consulting Co., Ltd"
0023.HK,"The Bank of East Asia, Limited"
2579.HK,"CNGR Advanced Material Co., Ltd."
0486.HK,"United Company RUSAL, International Public Joint-Stock Company"
2726.HK,"Epiworld International Co., Ltd."
3668.HK,Yancoal Australia Ltd
1530.HK,3SBio Inc.
0247.HK,Tsim Sha Tsui Properties Limited
0656.HK,Fosun International Limited
3396.HK,Legend Holdings Corporation
2676.HK,"Suzhou Novosense Microelectronics Co., Ltd."
1385.HK,Shanghai Fudan Microelectronics Group Company Limited
2577.HK,"InnoScience (Suzhou) Technology Holding Co., Ltd."
3311.HK,China State Construction International Holdings Limited
0008.HK,PCCW Limited
9880.HK,Ubtech Robotics Corp Ltd
2202.HK,"China Vanke Co., Ltd."
1963.HK,"Bank of Chongqing Co., Ltd."
0868.HK,Xinyi Glass Holdings Limited
1070.HK,TCL Electronics Holdings Limited
6680.HK,"JL Mag Rare-Earth Co., Ltd."
6963.HK,Sunshine Insurance Group Company Limited
3317.HK,"Shenzhen Xunce Technology Co., Ltd."
0151.HK,Want Want China Holdings Limited
0576.HK,"Zhejiang Expressway Co., Ltd."
2442.HK,Easy Smart Group Holdings Limited
1033.HK,Sinopec Oilfield Service Corporation
0392.HK,Beijing Enterprises Holdings Limited
2282.HK,MGM China Holdings Limited
1828.HK,FWD Group Holdings Limited
0921.HK,"Hisense Home Appliances Group Co., Ltd."
0101.HK,Hang Lung Properties Limited
1908.HK,C&D International Investment Group Limited
2696.HK,"Shanghai Henlius Biotech, Inc."
7618.HK,"JINGDONG Industrials, Inc."
6127.HK,"Joinn Laboratories(China)Co.,Ltd."
1193.HK,China Resources Gas Group Limited
0659.HK,CTF Services Limited
0874.HK,Guangzhou Baiyunshan Pharmaceutical Holdings Company Limited
1877.HK,"Shanghai Junshi Biosciences Co., Ltd."
2788.HK,Chuangxin Industries Holdings Limited
3866.HK,"Bank of Qingdao Co., Ltd."
1133.HK,Harbin Electric Company Limited
1359.HK,"China Cinda Asset Management Co., Ltd."
6088.HK,FIT Hon Teng Limited
3277.HK,Gpixel Changchun Microelectronics Inc.
2380.HK,China Power International Development Limited
2880.HK,"Liaoning Port Co., Ltd."
2331.HK,Li Ning Company Limited
