Ticker,Company
600515.SS,"Hainan Airport Infrastructure Co., Ltd"
600839.SS,"Sichuan Changhong Electric Co.,Ltd."
600330.SS,"TDG Holding Co., Ltd."
688538.SS,"Everdisplay Optronics (Shanghai) Co., Ltd."
605589.SS,"Jinan Shengquan Group Share Holding Co., Ltd."
689009.SS,Ninebot Limited
688266.SS,"Suzhou Zelgen Biopharmaceuticals Co., Ltd."
688449.SS,"Maxio Technology (Hangzhou) Co., Ltd."
600332.SS,Guangzhou Baiyunshan Pharmaceutical Holdings Company Limited
688180.SS,"Shanghai Junshi Biosciences Co., Ltd."
688065.SS,Cathay Biotech Inc.
600737.SS,"Cofco Sugar Holding CO.,LTD."
603198.SS,"Anhui Yingjia Distillery Co., Ltd."
603486.SS,"Ecovacs Robotics Co., Ltd."
688195.SS,"Optowide Technologies Co., Ltd."
688301.SS,iRay Group
603568.SS,"Zhejiang Weiming Environment Protection Co., Ltd."
600428.SS,"COSCO SHIPPING Specialized Carriers Co.,Ltd."
600536.SS,China National Software & Service Company Limited
603766.SS,"Loncin Motor Co., Ltd."
601001.SS,"Jinneng Holding Shanxi Coal Industry Co.,ltd."
600483.SS,"Fujian Funeng Co., Ltd."
603061.SS,"JHT Design Co.,Ltd."
600079.SS,"Humanwell Healthcare (Group) Co.,Ltd."
600925.SS,"Jiangsu Xukuang Energy Co., Ltd."
601880.SS,"Liaoning Port Co., Ltd."
688835.SS,"Jiangsu Gao Kai Precision Fluid Technology Co., Ltd."
601156.SS,"Eastern Air Logistics Co., Ltd."
603308.SS,"Anhui Yingliu Electromechanical Co., Ltd."
601990.SS,"Nanjing Securities Co., Ltd."
600301.SS,"Guangxi Huaxi Nonferrous Metal Co.,Ltd"
600282.SS,"Nanjing Iron & Steel Co., Ltd."
600862.SS,"Avic Aviation High-Technology Co., Ltd."
688635.SS,"Wuhan Changjin Photonics Technology Co., Ltd"
688599.SS,"Trina Solar Co., Ltd."
603338.SS,"Zhejiang Dingli Machinery Co.,Ltd"
600398.SS,"Hla Group Corp., Ltd."
603939.SS,"Yifeng Pharmacy Chain Co., Ltd."
600563.SS,"Xiamen Faratronic Co., Ltd."
600641.SS,"Shanghai Vital Deeptech Co., Ltd."
600353.SS,"Chengdu Xuguang Electronics Co., Ltd."
600517.SS,"State Grid Yingda Co.,Ltd."
600259.SS,"Rising Nonferrous Metals Share Co.,Ltd."
600961.SS,"Zhuzhou Smelter Group Co.,Ltd."
688807.SS,"Xiamen Ux Ic Co., Ltd."
603606.SS,"Ningbo Orient Wires & Cables Co.,Ltd."
688545.SS,"Hubei Sinophorus Electronic Materials Co.,Ltd."
601118.SS,"China Hainan Rubber Industry Group Co.,Ltd."
600637.SS,"Oriental Pearl Group Co.,Ltd."
600777.SS,Shandong Xinchao Energy Corporation Limited
601069.SS,"Western Region Gold Co., Ltd."
600699.SS,Ningbo Joyson Electronic Corp.
688318.SS,"Shenzhen Fortune Trend Technology Co., Ltd."
603688.SS,"Jiangsu Pacific Quartz Co., Ltd"
603444.SS,"G-bits Network Technology (Xiamen) Co., Ltd."
600312.SS,"Henan Pinggao Electric Co.,Ltd."
688333.SS,"Xi'an Bright Laser Technologies Co.,Ltd."
601933.SS,"Yonghui Superstores Co., Ltd."
600499.SS,"Keda Industrial Group Co., Ltd."
600369.SS,"Southwest Securities Co., Ltd."
603823.SS,"Lily Group Co., Ltd."
600685.SS,CSSC Offshore & Marine Engineering (Group) Company Limited
603186.SS,"Zhejiang Wazam New Materials Co.,LTD."
688114.SS,"MGI Tech Co., Ltd."
601000.SS,"TangShan Port Group Co.,Ltd"
688127.SS,"Zhejiang Lante Optics Co., Ltd."
601918.SS,"China Coal Xinji Energy Co.,Ltd"
688192.SS,"Dizal (Jiangsu) Pharmaceutical Co., Ltd."
600546.SS,"Shanxi Coal International Energy Group Co.,Ltd"
603920.SS,"Olympic Circuit Technology Co., Ltd"
603179.SS,"Jiangsu Xinquan Automotive Trim Co.,Ltd."
603565.SS,"Shanghai Zhonggu Logistics Co., Ltd."
601112.SS,"Zhejiang Zhenshi New Materials Co., Ltd."
601155.SS,"Seazen Holdings Co., Ltd"
600583.SS,"Offshore Oil Engineering Co.,Ltd"
600012.SS,Anhui Expressway Company Limited
600884.SS,"Ningbo Shanshan Co.,Ltd."
600153.SS,Xiamen C&D Inc.
601866.SS,"COSCO SHIPPING Development Co., Ltd."
600299.SS,Bluestar Adisseo Company
603067.SS,"Hubei Zhenhua Chemical Co.,Ltd."
688297.SS,"AVIC (Chengdu)UAS Co., Ltd."
688018.SS,"Espressif Systems (Shanghai) Co., Ltd."
601717.SS,ZCZL Industrial Technology Group Company Limited
600704.SS,"Wuchan Zhongda Group Co.,Ltd."
688205.SS,"Wuxi Taclink Optoelectronics Technology Co., Ltd."
688428.SS,InnoCare Pharma Limited
600595.SS,"Henan Zhongfu Industrial Co.,Ltd"
600816.SS,"J-Yuan Trust Co., Ltd."
688102.SS,"Shaanxi Sirui Advanced Materials Co., Ltd."
600208.SS,"Quzhou Xin'an Development Co., Ltd."
688652.SS,"Beijing Jingyi Automation Equipment Co., Ltd."
688362.SS,"Forehope Electronic (Ningbo) Co., Ltd."
603345.SS,"Anjoy Foods Group Co., Ltd."
603605.SS,"Proya Cosmetics Co.,Ltd."
600161.SS,"Beijing Tiantan Biological Products Co., Ltd."
688568.SS,"Geovis Technology Co.,Ltd"
600095.SS,"Xiangcai Co.,Ltd"
600998.SS,"Jointown Pharmaceutical Group Co., Ltd"
688608.SS,"Bestechnic (Shanghai) Co., Ltd."
600323.SS,"Grandblue Environment Co., Ltd."
688278.SS,"Xiamen Amoytop Biotech Co., Ltd."
603435.SS,"Quanzhou Jiadeli Electronics Material Co., Ltd."
601799.SS,"Changzhou Xingyu Automotive Lighting Systems Co., Ltd."
600521.SS,"Zhejiang Huahai Pharmaceutical Co., Ltd."
603663.SS,"Sanxiang Advanced Materials Co., Ltd."
688692.SS,Wuhan Dameng Database Company Limited
600329.SS,Tianjin Pharmaceutical Da Ren Tang Group Corporation Limited
605111.SS,"Wuxi NCE Power Co.,Ltd."
605090.SS,"Jiangxi Jovo Energy Co., Ltd"
600688.SS,Sinopec Shanghai Petrochemical Company Limited
601099.SS,"The Pacific Securities Co., Ltd"
600732.SS,"Shanghai Aiko Solar Energy Co.,Ltd."
688502.SS,MLOptic Corp.
688001.SS,"Suzhou HYC Technology Co.,Ltd."
600575.SS,"Huaihe Energy (Group) Co.,Ltd"
688368.SS,"Shanghai Bright Power Semiconductor Co., Ltd."
601615.SS,Ming Yang Smart Energy Group Limited
688778.SS,"XTC New Energy Materials(Xiamen) Co.,Ltd."
601228.SS,Guangzhou Port Company Limited
